version,suite,round,name,sink,thread,size,pitch,aspect,paspect,width,height,depth
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,1/100,10/1,1,100,1000,1970.647
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,1/10,10/1,10,100,100,2018.291
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1000,1/1,10/1,100,100,10,1970.466
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100,1/1000,1/10,1,1000,100,17258.726
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100,1/100,1/10,10,1000,10,17207.299
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,100,1/10,1/10,100,1000,1,17194.07
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10,1/10000,1/1000,1,10000,10,170723.413
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,10,1/1000,1/1000,10,10000,1,171289.403
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100000,1,1/100000,1/100000,1,100000,1,1698580.602
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,10000/1,10000/1,10000,1,1,382.561
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,1000/1,10000/1,1000,1,10,362.034
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,100/1,10000/1,100,1,100,375.71
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,10/1,10000/1,10,1,1000,367.496
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10000,1/1,10000/1,1,1,10000,340.803
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,100/1,100/1,1000,10,1,503.454
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,10/1,100/1,100,10,10,482.549
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,1/10,100/1,1,10,1000,431.246
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1000,1/1,100/1,10,10,100,449.751
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,100,1/100,1/1,1,100,100,1957.47
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,100,1/10,1/1,10,100,10,1957.134
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,100,1/1,1/1,100,100,1,1950.728
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10,1/1000,1/100,1,1000,10,17300.161
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,10,1/100,1/100,10,1000,1,17203.814
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10000,1,1/10000,1/10000,1,10000,1,170878.188
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,1000/1,1000/1,1000,1,1,302.873
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,100/1,1000/1,100,1,10,294.16
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,10/1,1000/1,10,1,100,299.88
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1000,1/1,1000/1,1,1,1000,310.548
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,100,10/1,10/1,100,10,1,434.394
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,100,1/10,10/1,1,10,100,441.5
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,100,1/1,10/1,10,10,10,456.222
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,10,1/100,1/10,1,100,10,1944.829
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,10,1/10,1/10,10,100,1,1942.029
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1000,1,1/1000,1/1000,1,1000,1,17323.601
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,100,100/1,100/1,100,1,1,294.032
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,100,10/1,100/1,10,1,10,293.486
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,100,1/1,100/1,1,1,100,297.495
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,10,1/10,1/1,1,10,10,426.114
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,10,1/1,1/1,10,10,1,429.15
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,100,1,1/100,1/100,1,100,1,1961.939
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10,10,10/1,10/1,10,1,1,299.654
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10,10,1/1,10/1,1,1,10,290.683
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,10,1,1/10,1/10,1,10,1,422.967
8.6.12,bench/image-from-value.bench,0,image from value,null-s,8,1,1,1/1,1/1,1,1,1,316.208
