version,suite,round,name,sink,thread,size,pitch,aspect,paspect,width,height,depth
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,10/1,1000/1,100,10,100,431.751
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,1/10,1000/1,1,10,10000,407.458
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10000,1/1,1000/1,10,10,1000,419.008
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,10/1,10/1,1000,100,1,656.811
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,1/100,10/1,1,100,1000,546.987
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,1/10,10/1,10,100,100,553.9
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1000,1/1,10/1,100,100,10,565.857
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100,1/1000,1/10,1,1000,100,2336.517
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100,1/100,1/10,10,1000,10,2299.358
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,100,1/10,1/10,100,1000,1,2459.141
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10,1/10000,1/1000,1,10000,10,19727.199
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,10,1/1000,1/1000,10,10000,1,19965.802
8.6.12,bench/image-from-value.bench,0,image from value,null,2,100000,1,1/100000,1/100000,1,100000,1,182158.076
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10000,10000/1,10000/1,10000,1,1,201.934
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10000,1000/1,10000/1,1000,1,10,177.674
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10000,100/1,10000/1,100,1,100,163.953
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10000,10/1,10000/1,10,1,1000,176.19
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,10000,1/1,10000/1,1,1,10000,165.633
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,1000,100/1,100/1,1000,10,1,186.335
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,1000,10/1,100/1,100,10,10,157.834
8.6.12,bench/image-from-value.bench,0,image from value,null,2,10000,1000,1/10,100/1,1,10,1000,154.362
